product_id,orbit,version,volume,file_spec,url_lbl,url_img,label_md5,image_md5,image_bytes,start_time,stop_time,sampling_factor,samples,lines,software_name,timing_state,offset_px,selected,selection_reason
JNCR_2016346_03C00092_V03,3,3,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00092_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00092_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00092_V03.IMG,098aec938adc3e0bcd34f557ddc38762,e24bfefb6ab5f9cc8700c6f2052b74b5,25313280,2016-12-11T15:44:58.170,2016-12-11T15:45:05.650,1,1648,7680,JUNOMAKEPDS.PY 0.7,applied,3.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred
JNCR_2016346_03M00093_V03,3,3,JNOJNC_0013,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00093_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0013/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00093_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0013/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00093_V03.IMG,ab171784534a12769d1d69599b4379b5,910728eeb441e73108f43b6e3b94eac6,2088960,2016-12-11T15:45:58.760,2016-12-11T15:46:02.500,2,816,1280,JUNOMAKEPDS.PY 0.8,applied,6.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred; outside full RGB scope; unsupported sampling or incomplete framelets
JNCR_2016346_03C00094_V02,3,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00094_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00094_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00094_V02.IMG,f6764e8c83105e2cd3b24b8ab4d397f4,7d7afe145404f7fbfd9428c67adcc39a,27844608,2016-12-11T15:58:05.896,2016-12-11T15:58:14.124,1,1648,8448,JUNOMAKEPDS.PY 0.7,applied,6.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred
JNCR_2016346_03M00095_V02,3,2,JNOJNC_0013,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00095_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0013/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00095_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0013/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00095_V02.IMG,c1fcbe27f9791e2ab1917cfe1c53ef53,70b5bc7d9bc3fd5e1c315cc32ef5690f,2297856,2016-12-11T15:59:06.548,2016-12-11T15:59:10.662,2,816,1408,JUNOMAKEPDS.PY 0.8,applied,4.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred; outside full RGB scope; unsupported sampling or incomplete framelets
JNCR_2016346_03R00096_V01,3,1,JNOJNC_0003,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00096_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0003/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00096_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0003/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00096_V01.IMG,8513e99909903383297c95a60ba14a20,beb97a82b8768d4650a1aae6b5e2c8f9,10125312,2016-12-11T16:07:11.137,2016-12-11T16:07:20.113,1,1648,3072,JUNOMAKEPDS.PY 0.4,absent,,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred; outside full RGB scope; old companding pipeline ERRATA B.1; archive timing absent
JNCR_2016346_03R00097_V01,3,1,JNOJNC_0003,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00097_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0003/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00097_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0003/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00097_V01.IMG,bd485d8c62e19e44b0cfd7916dd2d32b,c0fec826099c76618129dd53bd59d78a,10125312,2016-12-11T16:09:12.344,2016-12-11T16:09:21.320,1,1648,3072,JUNOMAKEPDS.PY 0.4,absent,,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred; outside full RGB scope; old companding pipeline ERRATA B.1; archive timing absent
JNCR_2016346_03R00098_V01,3,1,JNOJNC_0003,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00098_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0003/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00098_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0003/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03R00098_V01.IMG,f078dbd0c76da7b20a6372c71729ce3a,70c0fa83f5a4173451c707a94e247881,10125312,2016-12-11T16:11:13.547,2016-12-11T16:11:22.523,1,1648,3072,JUNOMAKEPDS.PY 0.4,absent,,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred; outside full RGB scope; old companding pipeline ERRATA B.1; archive timing absent
JNCR_2016346_03C00099_V03,3,3,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00099_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00099_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00099_V03.IMG,82396768d649d877cc46fc812680d954,0fe6b69e3d6de480c0661bffae7a2198,32907264,2016-12-11T16:13:44.711,2016-12-11T16:13:54.435,1,1648,9984,JUNOMAKEPDS.PY 0.7,applied,-2.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred
JNCR_2016346_03M00100_V03,3,3,JNOJNC_0013,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00100_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0013/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00100_V03.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0013/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03M00100_V03.IMG,cb4a9e5a6aa8a4e77a818c859143267c,7b97883ad962b33e7e7620ed6d7c4c7f,2715648,2016-12-11T16:14:45.207,2016-12-11T16:14:50.069,2,816,1664,JUNOMAKEPDS.PY 0.8,applied,6.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred; outside full RGB scope; unsupported sampling or incomplete framelets
JNCR_2016346_03C00101_V02,3,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00101_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00101_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_03/JNCR_2016346_03C00101_V02.IMG,ee19c3bc1390edc8de4554f57dc480b6,19f337ff832eb63ac54edc670932e642,35438592,2016-12-11T16:24:50.847,2016-12-11T16:25:01.319,1,1648,10752,JUNOMAKEPDS.PY 0.7,applied,-4.0,False,PJ3 JIRAM orbit-number/kernel mismatch; deferred
